"id","date","lon","lat","esi_daily_avg","observed","esi_daily_avg_5","esi_daily_avg_10","esi_daily_avg_20"
3,2020-04-28,90.37,23.81,0.806391818182809,0,1.30025857686996,1.50964681049446,1.35552931399572
3,2020-04-29,90.37,23.81,0.608845114707947,1,1.1027118733951,1.42589151704466,1.33202460833958
3,2020-04-30,90.37,23.81,0.445386818477086,0,0.910846571127574,1.31678731720169,1.30018127370043
3,2020-05-01,90.37,23.81,0.281928522246225,0,0.724662670067379,1.18233421096554,1.25999931007826
3,2020-05-02,90.37,23.81,0.118470226015363,0,0.544160170214517,1.02253219833622,1.21147871747309
3,2020-05-03,90.37,23.81,-0.0449880702154977,0,0.369339071568989,0.837381279313719,1.1546194958849
3,2020-05-04,90.37,23.81,-0.208446366446359,0,0.200199374130794,0.655329306404312,1.0894216453137
3,2020-05-05,90.37,23.81,-0.37190466267722,0,0.0367410778999329,0.476376279607996,1.0158851657595
3,2020-05-06,90.37,23.81,-0.535362958908081,1,-0.126717218330928,0.300522198924771,0.934010057222275
3,2020-05-07,90.37,23.81,-0.561714231967926,0,-0.267324344033287,0.140231339188365,0.845385855963441
3,2020-05-08,90.37,23.81,-0.588065505027771,0,-0.385080299207142,-0.00449629960122043,0.750012561982992
3,2020-05-09,90.37,23.81,-0.614416778087616,0,-0.479985083852495,-0.133660717443986,0.647890175280928
3,2020-05-10,90.37,23.81,-0.640768051147461,0,-0.552038697969346,-0.247261914339933,0.539018695857249
3,2020-05-11,90.37,23.81,-0.667119324207306,0,-0.601241141557693,-0.34839883640215,0.423398123711956
3,2020-05-12,90.37,23.81,-0.693470597267151,0,-0.627592414617538,-0.437071483630639,0.301028458845048
3,2020-05-13,90.37,23.81,-0.719821870326996,1,-0.653943687677383,-0.513279856025398,0.171909701256525
3,2020-05-14,90.37,23.81,-0.774887033871242,0,-0.685080609151295,-0.57963430726683,0.0495757789027934
3,2020-05-15,90.37,23.81,-0.829952197415488,0,-0.721003179039274,-0.636134837354932,-0.0659733082161468
3,2020-05-16,90.37,23.81,-0.885017360959734,0,-0.76171139734132,-0.682781446289706,-0.174737560100296
3,2020-05-17,90.37,23.81,-0.94008252450398,0,-0.807205264057432,-0.719574134071152,-0.276716976749654
3,2020-05-18,90.37,23.81,-0.995147688048227,0,-0.857484779187611,-0.758977175532997,-0.37191155816422
3,2020-05-19,90.37,23.81,-1.05021285159247,0,-0.912549942731857,-0.800990570675243,-0.460321304343996
3,2020-05-20,90.37,23.81,-1.10527801513672,1,-0.967615106276103,-0.845614319497889,-0.54194621528898
3,2020-05-21,90.37,23.81,-1.28269260270255,0,-1.04307184049061,-0.903971096911988,-0.624235711535629
3,2020-05-22,90.37,23.81,-1.46010719026838,0,-1.13892014537539,-0.97606090291754,-0.707189793083943
3,2020-05-23,90.37,23.81,-1.63752177783421,0,-1.25516002093043,-1.06188373751455,-0.790808459933923
3,2020-05-24,90.37,23.81,-1.81493636540004,0,-1.39179146715573,-1.161439600703,-0.875091712085568
3,2020-05-25,90.37,23.81,-1.99235095296587,0,-1.5488144840513,-1.27211813880252,-0.960039549538878
3,2020-05-26,90.37,23.81,-2.1697655405317,0,-1.72622907161713,-1.39391935181308,-1.04565197229385
3,2020-05-27,90.37,23.81,-2.34718012809753,1,-1.90364365918296,-1.5268432397347,-1.13192898035049
3,2020-05-28,90.37,23.81,-2.3194264875991,0,-2.04686354207141,-1.65223814547062,-1.21562956395198
3,2020-05-29,90.37,23.81,-2.29167284710067,0,-2.15588872028249,-1.77010406902084,-1.29675372309831
3,2020-05-30,90.37,23.81,-2.26391920660223,0,-2.23071919381618,-1.88044101038536,-1.37530145778948
3,2020-05-31,90.37,23.81,-2.2361655661038,0,-2.27135496267251,-1.98324896956419,-1.4512727680255
3,2020-06-01,90.37,23.81,-2.20841192560537,0,-2.27779602685145,-2.06740527164626,-1.52466765380636
3,2020-06-02,90.37,23.81,-2.18065828510693,0,-2.25004238635302,-2.13290991663159,-1.59548611513206
3,2020-06-03,90.37,23.81,-2.1529046446085,0,-2.22228874585458,-2.17976290452016,-1.66372815200261
3,2020-06-04,90.37,23.81,-2.12515100411006,0,-2.19453510535615,-2.20796423531198,-1.72802643629969
3,2020-06-05,90.37,23.81,-2.09739736361163,0,-2.16678146485771,-2.21751390900705,-1.78838096802332
3,2020-06-06,90.37,23.81,-2.0696437231132,0,-2.13902782435928,-2.20841192560537,-1.84479174717348
3,2020-06-07,90.37,23.81,-2.04189008261476,0,-2.11127418386085,-2.18065828510693,-1.89725877375019
3,2020-06-08,90.37,23.81,-2.01413644211633,0,-2.08352054336241,-2.1529046446085,-1.94578204775343
3,2020-06-09,90.37,23.81,-1.98638280161789,0,-2.05576690286398,-2.12515100411006,-1.99036156918321
3,2020-06-10,90.37,23.81,-1.95862916111946,0,-2.02801326236555,-2.09739736361163,-2.03099733803953
3,2020-06-11,90.37,23.81,-1.93087552062103,0,-2.00025962186711,-2.0696437231132,-2.06186319127375
3,2020-06-12,90.37,23.81,-1.90312188012259,0,-1.97250598136868,-2.04189008261476,-2.08295912888585
3,2020-06-13,90.37,23.81,-1.87536823962416,0,-1.94475234087024,-2.01413644211633,-2.09428515087585
3,2020-06-14,90.37,23.81,-1.84761459912573,0,-1.91699870037181,-1.98638280161789,-2.09584125724374
3,2020-06-15,90.37,23.81,-1.81986095862729,0,-1.88924505987338,-1.95862916111946,-2.08762744798952
3,2020-06-16,90.37,23.81,-1.79210731812886,0,-1.86149141937494,-1.93087552062103,-2.0696437231132
3,2020-06-17,90.37,23.81,-1.76435367763042,0,-1.83373777887651,-1.90312188012259,-2.04189008261476
3,2020-06-18,90.37,23.81,-1.73660003713199,0,-1.80598413837808,-1.87536823962416,-2.01413644211633
3,2020-06-19,90.37,23.81,-1.70884639663356,0,-1.77823049787964,-1.84761459912573,-1.98638280161789
3,2020-06-20,90.37,23.81,-1.68109275613512,0,-1.75047685738121,-1.81986095862729,-1.95862916111946
3,2020-06-21,90.37,23.81,-1.65333911563669,0,-1.72272321688277,-1.79210731812886,-1.93087552062103
3,2020-06-22,90.37,23.81,-1.62558547513826,0,-1.69496957638434,-1.76435367763042,-1.90312188012259
3,2020-06-23,90.37,23.81,-1.59783183463982,0,-1.66721593588591,-1.73660003713199,-1.87536823962416
3,2020-06-24,90.37,23.81,-1.57007819414139,0,-1.63946229538747,-1.70884639663356,-1.84761459912573
3,2020-06-25,90.37,23.81,-1.54232455364295,0,-1.61170865488904,-1.68109275613512,-1.81986095862729
3,2020-06-26,90.37,23.81,-1.51457091314452,0,-1.5839550143906,-1.65333911563669,-1.79210731812886
3,2020-06-27,90.37,23.81,-1.48681727264609,0,-1.55620137389217,-1.62558547513826,-1.76435367763042
3,2020-06-28,90.37,23.81,-1.45906363214765,0,-1.52844773339374,-1.59783183463982,-1.73660003713199
3,2020-06-29,90.37,23.81,-1.43130999164922,0,-1.5006940928953,-1.57007819414139,-1.70884639663356
3,2020-06-30,90.37,23.81,-1.40355635115079,0,-1.47294045239687,-1.54232455364295,-1.68109275613512
3,2020-07-01,90.37,23.81,-1.37580271065235,0,-1.44518681189844,-1.51457091314452,-1.65333911563669
3,2020-07-02,90.37,23.81,-1.34804907015392,0,-1.4174331714,-1.48681727264609,-1.62558547513826
3,2020-07-03,90.37,23.81,-1.32029542965548,0,-1.38967953090157,-1.45906363214765,-1.59783183463982
3,2020-07-04,90.37,23.81,-1.29254178915705,0,-1.36192589040313,-1.43130999164922,-1.57007819414139
